COMMON_NAME,BLD_ADDRESS,PARCEL_ADDRESS,STRUCTURE_TYPE,WARD,COMMUNITY,GLOBALID,MULTIPOLYGON
RESIDENTIAL,4819 4 ST NW,4819 4 ST NW,LEASED SPACE,WARD 4,HIGHWOOD,{4AB119D8-14A8-4D11-983D-69AF1B5EE397},"MULTIPOLYGON (((-114.0718696 51.0950065, -114.0718683 51.0951232, -114.0719929 51.0951238, -114.0719942 51.0950071, -114.0718696 51.0950065)))"
WEST CONFEDERATION DEPOT,2020 CHICOUTIMI DR NW,2836 CANMORE RD NW,DEPOT,WARD 4,CHARLESWOOD,{DFE86440-6348-4653-8A87-E202A8457447},"MULTIPOLYGON (((-114.1095304 51.0811165, -114.1095219 51.081189, -114.1096174 51.0811934, -114.1096148 51.0812151, -114.1096347 51.081216, -114.1096777 51.081218, -114.1096962 51.0812189, -114.1097073 51.0811248, -114.1095304 51.0811165)))"
RESIDENTIAL,4803 EDMONTON TR NE,4803 EDMONTON TR NE,SINGLE FAMILY,WARD 4,GREENVIEW,{41B8020B-6F8C-4727-B301-C2C64A272014},"MULTIPOLYGON (((-114.0544271 51.0949048, -114.0542907 51.0949073, -114.054294 51.0949796, -114.0543157 51.0949792, -114.0543178 51.0950253, -114.0544324 51.0950232, -114.0544271 51.0949048)))"
BRISBOIS EAST STORM LIFT STATION,4136 BRENTWOOD RD NW,,LIFT STATION,WARD 4,BRENTWOOD,{273BCB4C-C503-4F2A-A822-16899CE2E128},"MULTIPOLYGON (((-114.1347314 51.0891424, -114.1347685 51.089121, -114.1347359 51.0890985, -114.1346987 51.0891198, -114.1347314 51.0891424)))"
SPRING GARDENS BUILDING D,840D 32 AV NE,840 32 AV NE,ADMINISTRATION,WARD 4,GREENVIEW INDUSTRIAL PARK,{F93BC17B-8354-4CE9-B993-54B9635A7265},"MULTIPOLYGON (((-114.0430083 51.0883669, -114.0430087 51.0883374, -114.0430213 51.0883372, -114.0430233 51.0882418, -114.0430009 51.0882411, -114.0430014 51.0882075, -114.0430012 51.088202, -114.0430005 51.0881988, -114.0429996 51.0881955, -114.0429967 51.0881933, -114.0429922 51.0881923, -114.0429871 51.0881919, -114.042984 51.0881919, -114.0428253 51.0881919, -114.0428167 51.0881919, -114.0428102 51.0881926, -114.0428063 51.088194, -114.0428025 51.088196, -114.0427993 51.0881987, -114.0427612 51.088199, -114.0427613 51.0881918, -114.0426366 51.0881914, -114.042635 51.0882059, -114.0425741 51.0882054, -114.0425658 51.0882054, -114.0425611 51.088206, -114.0425579 51.0882074, -114.042555 51.0882101, -114.0425544 51.0882131, -114.0425543 51.0882157, -114.042553 51.0883212, -114.0425532 51.0883268, -114.0425544 51.0883305, -114.0425575 51.0883334, -114.0425619 51.0883351, -114.0425638 51.0883351, -114.0425718 51.0883352, -114.0425709 51.0883497, -114.0425325 51.0883495, -114.0425314 51.0884435, -114.0425535 51.0884451, -114.0425535 51.0885027, -114.0425546 51.0885081, -114.0425549 51.0885112, -114.0425573 51.0885133, -114.0425616 51.0885149, -114.0425677 51.0885156, -114.0425794 51.0885158, -114.042624 51.088516, -114.0426469 51.0885157, -114.0426467 51.0885292, -114.0427937 51.0885302, -114.0427933 51.0885165, -114.0429972 51.0885157, -114.0430086 51.088516, -114.0430133 51.0885159, -114.0430171 51.0885149, -114.0430207 51.0885129, -114.0430221 51.0885105, -114.0430227 51.0885076, -114.0430225 51.088505, -114.0430226 51.0885006, -114.0430231 51.088389, -114.0430224 51.0883826, -114.0430197 51.0883758, -114.0430144 51.0883722, -114.0430116 51.0883694, -114.04301 51.0883682, -114.0430083 51.0883669)))"
19 ST DEPOT,4375 19 ST NW,,ATCO TRAILER,WARD 4,CHARLESWOOD,{CCBB8736-5F33-4989-8113-26F53F2D5953},"MULTIPOLYGON (((-114.1069529 51.0919721, -114.1069674 51.091976, -114.1071817 51.0920339, -114.1071954 51.0920376, -114.1072323 51.0919834, -114.1069899 51.0919179, -114.1069529 51.0919721)))"
SPRING GARDENS PARK GARAGE,840 32 AV NE,840 32 AV NE,GARAGE,WARD 4,GREENVIEW INDUSTRIAL PARK,{1EF931DB-39A3-4B7E-B6BA-6B2965F29B26},"MULTIPOLYGON (((-114.0463052 51.0881278, -114.0463825 51.0881278, -114.0464562 51.0881278, -114.0464562 51.0880222, -114.0463808 51.0880222, -114.0463052 51.0880222, -114.0463052 51.0881278)))"
CPS DISTRICT 3 - GARAGE,4303 14 ST NW,4303 14 ST NW,POLICE STATION,WARD 4,NOSE HILL PARK,{0B4AE8A4-AEF2-4EF2-A829-474D01E75662},"MULTIPOLYGON (((-114.0957015 51.0921934, -114.0956115 51.0922893, -114.095736 51.0923356, -114.095823 51.092243, -114.095826 51.0922398, -114.0957151 51.0921985, -114.0957015 51.0921934)))"
5912 CENTRE ST NE RESIDENTIAL,5912 CENTRE ST NE,5912 CENTRE ST NE,RESIDENTIAL,WARD 4,THORNCLIFFE,{4BE8C47A-0938-4D1B-B0FF-FF9F11B4759C},"MULTIPOLYGON (((-114.0621183 51.103181, -114.062136 51.103181, -114.0621363 51.1031193, -114.0619947 51.1031191, -114.0619943 51.1032408, -114.062118 51.103241, -114.0621183 51.103181)))"
RESIDENTIAL,507 THORNHILL DR NW,507 THORNHILL DR NW,SINGLE FAMILY,WARD 4,THORNCLIFFE,{16C63FA0-1FE1-4009-90B6-0C6288BFA09E},"MULTIPOLYGON (((-114.0720047 51.0967206, -114.071962 51.0968005, -114.0721451 51.0968393, -114.0721878 51.0967594, -114.0720047 51.0967206)))"
LRT SUBSTATION #17,4785 DALHOUSIE DR NW,,LRT SUBSTATION,WARD 4,VARSITY,{015E44C6-0A23-4EF3-BB1A-F44FF11C71EA},"MULTIPOLYGON (((-114.1624875 51.103974, -114.1624455 51.1040161, -114.1624408 51.1040207, -114.1626969 51.1041221, -114.1627436 51.1040754, -114.1624875 51.103974)))"
1019 78 AV NW HOUSING,1019 78 AV NW,1019 78 AV NW,HOUSING - SINGLE FAMILY,WARD 4,HUNTINGTON HILLS,{76925310-E643-4F65-9C19-73A32E43E7C9},"MULTIPOLYGON (((-114.0808576 51.1217706, -114.0807611 51.1217713, -114.0806719 51.1217719, -114.0806667 51.121772, -114.0806682 51.1218606, -114.0808592 51.1218592, -114.0808576 51.1217706)))"
RESIDENTIAL,5004 CENTRE A ST NE,5004 CENTRE A ST NE,SINGLE FAMILY,WARD 4,THORNCLIFFE,{EA0B11FD-D21C-4D9F-877E-6DA773BCFBD5},"MULTIPOLYGON (((-114.0605025 51.0963393, -114.0606493 51.0963443, -114.0606499 51.0962803, -114.0606658 51.0962803, -114.0606664 51.0962204, -114.0605247 51.0962199, -114.0605246 51.0962264, -114.0605243 51.0962601, -114.0605238 51.0963058, -114.0605029 51.0963058, -114.0605025 51.0963393)))"
22 & 24 NIVEN PL NW HOUSING,22 & 24 NIVEN PL NW,40 NIVEN PL NW,HOUSING - DUPLEX,WARD 4,NORTH HAVEN,{6434F8D7-2344-4F8A-AEE8-C46CE425E652},"MULTIPOLYGON (((-114.0920946 51.0993677, -114.092094 51.099421, -114.0922547 51.0994218, -114.0922553 51.0993692, -114.092256 51.0993147, -114.0920953 51.0993139, -114.0920946 51.0993677)))"
18 & 20 NIVEN PL NW HOUSING,18 & 20 NIVEN PL NW,40 NIVEN PL NW,HOUSING - DUPLEX,WARD 4,NORTH HAVEN,{2B795999-4EC9-4294-92A7-F9FA2D3208C5},"MULTIPOLYGON (((-114.0921317 51.0991642, -114.0921453 51.0992143, -114.0921602 51.0992689, -114.0923204 51.0992516, -114.0923076 51.0992046, -114.0923061 51.0991992, -114.0922918 51.0991469, -114.0921317 51.0991642)))"
14 & 16 NIVEN PL NW HOUSING,14 & 16 NIVEN PL NW,40 NIVEN PL NW,HOUSING - DUPLEX,WARD 4,NORTH HAVEN,{E112437D-77EE-4562-98F2-3855A0C8187A},"MULTIPOLYGON (((-114.0920865 51.0990139, -114.0921058 51.0990652, -114.0921257 51.0991178, -114.0922832 51.0990942, -114.0922642 51.0990439, -114.092244 51.0989903, -114.0920865 51.0990139)))"
50 & 52 NIVEN PL NW HOUSING,50 & 52 NIVEN PL NW,40 NIVEN PL NW,HOUSING - DUPLEX,WARD 4,NORTH HAVEN,{2D3E2B2B-847F-474B-A56B-FD335A9D80FB},"MULTIPOLYGON (((-114.0927833 51.0995017, -114.0929528 51.0995026, -114.0929535 51.0994502, -114.0929542 51.0993963, -114.0927955 51.0993955, -114.0927949 51.0994409, -114.0927853 51.0994409, -114.0927852 51.0994484, -114.0927852 51.0994511, -114.092785 51.0994659, -114.0927837 51.0994659, -114.0927833 51.0995017)))"
26 & 28 NIVEN PL NW HOUSING,26 & 28 NIVEN PL NW,40 NIVEN PL NW,HOUSING - DUPLEX,WARD 4,NORTH HAVEN,{8DF5EC24-184D-4D61-A2E6-F149C962DFB2},"MULTIPOLYGON (((-114.0920492 51.099519, -114.0920493 51.099524, -114.0920511 51.0995856, -114.0922591 51.0995833, -114.0922574 51.0995233, -114.0922572 51.0995177, -114.0922572 51.0995164, -114.0922418 51.0995166, -114.0922404 51.0994655, -114.092081 51.0994673, -114.0920823 51.0995156, -114.0920491 51.099516, -114.0920492 51.099519)))"
CALGARY MINOR SOCCER ASSOCIATION,11014 BEARSPAW DAM RD NW,11000 BEARSPAW DAM RD NW,INDOOR PLAYING FIELD,WARD 1,01B,{0B4AC2CA-7E88-4A68-AEEB-B55DEA834F33},"MULTIPOLYGON (((-114.2471801 51.1062288, -114.2471852 51.1061899, -114.2472693 51.1061943, -114.2472745 51.1061552, -114.2471973 51.1061512, -114.2472647 51.1056403, -114.2471287 51.1056332, -114.247142 51.105532, -114.2470764 51.1055285, -114.2470631 51.1056294, -114.246994 51.1056257, -114.2463856 51.1055939, -114.2464008 51.1054812, -114.2465693 51.1054903, -114.2465935 51.105308, -114.2462787 51.1052892, -114.2462759 51.1053087, -114.2460623 51.1052956, -114.245829 51.1052836, -114.2458066 51.1052825, -114.2457039 51.1052772, -114.2456823 51.1054433, -114.2460608 51.1054628, -114.2462673 51.105474, -114.2462522 51.1055862, -114.2456633 51.1055554, -114.24567 51.1055044, -114.2456073 51.1055012, -114.2456005 51.1055524, -114.2454964 51.1055473, -114.245492 51.105536, -114.2454858 51.1055358, -114.2454672 51.1055353, -114.2454571 51.1055452, -114.2453725 51.1055405, -114.2452946 51.1061302, -114.2471801 51.1062288)))"
GUNN'S DAIRY BARN,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{8D86BDFE-ABA8-4C8E-8C5E-952FCD8900DB},"MULTIPOLYGON (((-114.1081185 50.9860446, -114.1081096 50.9861043, -114.1080725 50.9861, -114.1080682 50.9860995, -114.108072 50.9860708, -114.1079544 50.9860628, -114.10794 50.9861476, -114.1079196 50.9861466, -114.1079126 50.9862041, -114.1079264 50.9862041, -114.107927 50.9862209, -114.1081139 50.9862339, -114.1081183 50.9862064, -114.1083345 50.9862201, -114.1083391 50.9861957, -114.1083589 50.9860891, -114.1083396 50.986088, -114.1083431 50.9860624, -114.10834 50.9860622, -114.1081187 50.9860447, -114.1081185 50.9860446)))"
DIDSBURY BANDSTAND,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{9F0AEFAF-A43A-45E6-99AD-CD22F2C144FF},"MULTIPOLYGON (((-114.1073818 50.9837394, -114.1073258 50.9837784, -114.1073487 50.9838284, -114.1074286 50.9838397, -114.1074831 50.9838017, -114.1074604 50.9837526, -114.1073818 50.9837394)))"
BABY ELI FERRIS WHEEL,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{12737D5D-28B9-45A8-8836-362F5334FD63},"MULTIPOLYGON (((-114.1084334 50.9841234, -114.1084358 50.9841084, -114.1083546 50.9841032, -114.1083522 50.9841182, -114.1084334 50.9841234)))"
VALLEY RIDGE SCRUBBER,6 VALLEY POINTE LI NW,,WATER/WASTE WATER TREATMENT PLANT,WARD 1,VALLEY RIDGE,{50272FA8-748A-41D1-8214-BD6FA977ED8B},"MULTIPOLYGON (((-114.2702996 51.0925142, -114.2703002 51.0925142, -114.2703008 51.092514, -114.2703014 51.0925139, -114.2703019 51.0925137, -114.2703023 51.0925134, -114.2703027 51.0925131, -114.270303 51.0925127, -114.2703031 51.0925123, -114.2703032 51.0925119, -114.2703031 51.0925115, -114.2703029 51.0925112, -114.2703027 51.0925108, -114.2703023 51.0925105, -114.2703019 51.0925102, -114.2703014 51.09251, -114.2703008 51.0925098, -114.2703002 51.0925097, -114.2702996 51.0925097, -114.270299 51.0925097, -114.2702984 51.0925098, -114.2702978 51.09251, -114.2702973 51.0925102, -114.2702969 51.0925105, -114.2702965 51.0925108, -114.2702962 51.0925112, -114.2702961 51.0925116, -114.270296 51.0925119, -114.2702961 51.0925123, -114.2702962 51.0925127, -114.2702965 51.0925131, -114.2702969 51.0925134, -114.2702973 51.0925137, -114.2702978 51.0925139, -114.2702984 51.0925141, -114.270299 51.0925142, -114.2702996 51.0925142)))"
#13 6504 35 AV NW HOUSING,#13 6504 35 AV NW,6504 35 AV NW,HOUSING - TOWNHOUSE,WARD 1,BOWNESS,{902CE321-C723-4261-BF55-3C2EB36EA1ED},"MULTIPOLYGON (((-114.1835336 51.084851, -114.1836609 51.0848536, -114.1836619 51.0848128, -114.1835346 51.0848102, -114.1835336 51.084851)))"
#5 6504 35 AV NW HOUSING,#5 6504 35 AV NW,6504 35 AV NW,HOUSING - TOWNHOUSE,WARD 1,BOWNESS,{C9222859-C002-4AD7-8C9A-DDC186F40813},"MULTIPOLYGON (((-114.1835379 51.0844868, -114.1836634 51.0844898, -114.1836644 51.0844482, -114.1835389 51.0844454, -114.1835379 51.0844868)))"
BEARSPAW WTP RESIDUAL TRMT FACILITY,10050 BEARSPAW DAM RD NW,10010 BEARSPAW DAM RD NW,WATER/WASTE WATER TREATMENT PLANT,WARD 1,01B,{A164612B-4E63-432C-AD16-F1E29915C600},"MULTIPOLYGON (((-114.2325751 51.1038549, -114.2325735 51.103855, -114.2325676 51.1038557, -114.2318762 51.1039345, -114.2318754 51.1039346, -114.2318741 51.1039347, -114.2319078 51.1040512, -114.2319084 51.1040532, -114.2319298 51.1041275, -114.2319391 51.1041596, -114.2319732 51.1042774, -114.2319739 51.1042799, -114.2320026 51.1043793, -114.2319112 51.1043897, -114.2319119 51.1043922, -114.2319686 51.1045894, -114.2319698 51.1045934, -114.2319712 51.1045985, -114.2321665 51.1045763, -114.2321936 51.1046705, -114.2321944 51.1046732, -114.2324983 51.1046386, -114.2324703 51.1045412, -114.2327802 51.1045058, -114.2327208 51.1042993, -114.2327034 51.1043013, -114.2326392 51.1040781, -114.2325751 51.1038549)))"
BEARSPAW WTP CO2 STORAGE TANK,10010 BEARSPAW DAM RD NW,10010 BEARSPAW DAM RD NW,WATER/WASTE WATER TREATMENT PLANT,WARD 1,01B,{F1F50EAB-C313-41C8-BB65-DCA8447DA0E3},"MULTIPOLYGON (((-114.2311241 51.1054732, -114.2310763 51.1053005, -114.2310465 51.1053038, -114.2310943 51.1054765, -114.2311241 51.1054732)))"
#14 6504 35 AV NW HOUSING,#14 6504 35 AV NW,6504 35 AV NW,HOUSING - TOWNHOUSE,WARD 1,BOWNESS,{7F4A9849-688C-4A89-ABC8-1E01206847D0},"MULTIPOLYGON (((-114.1835336 51.084851, -114.1835326 51.0848933, -114.1836599 51.0848945, -114.1836609 51.0848536, -114.1835336 51.084851)))"
#7 6504 35 AV NW HOUSING,#7 6504 35 AV NW,6504 35 AV NW,HOUSING - TOWNHOUSE,WARD 1,BOWNESS,{63DC91CB-38C4-4707-87D8-D2DCB383890C},"MULTIPOLYGON (((-114.1835399 51.0845671, -114.1836716 51.0845695, -114.1836727 51.0845281, -114.1836624 51.0845279, -114.1835408 51.0845265, -114.1835399 51.0845671)))"
BEARSPAW RAW I,13401 BEARSPAW DAM RD NW,5610 133 ST NW;5660 133 ST NW;5665 133 ST NW,PUMP STATION,WARD 1,HASKAYNE,{1217D895-BAD8-49E0-BD25-CD36DBD01AD9},"MULTIPOLYGON (((-114.280892 51.1017801, -114.2808174 51.1017859, -114.2808022 51.101787, -114.2804499 51.101814, -114.2804735 51.101936, -114.2808177 51.1019096, -114.2809156 51.1019021, -114.2809153 51.1019005, -114.280892 51.1017801)))"
BOWNESS PARK SANITARY LIFT STATION,4951 85 ST NW,8900 48 AV NW,LIFT STATION,WARD 1,BOWNESS,{2FF23D1B-F9C9-4029-ACE2-AC0CD1BE0A77},"MULTIPOLYGON (((-114.2111478 51.0975452, -114.2111081 51.0975601, -114.211075 51.0975726, -114.2111079 51.0976074, -114.2111282 51.0976287, -114.2112012 51.0976013, -114.2111478 51.0975452)))"
BOWNESS COMMUNITY ASSOCIATION,7904 43 AV NW,7904 43 AV NW,ARENA,WARD 1,BOWNESS,{F1102405-A9F3-4B97-9FD0-8EB10589ECA0},"MULTIPOLYGON (((-114.2003895 51.0913942, -114.2003902 51.0914475, -114.2003902 51.0914504, -114.2002352 51.0914502, -114.1995805 51.0914504, -114.1995508 51.0914504, -114.1995508 51.0914587, -114.1995514 51.0917802, -114.199963 51.0917799, -114.2003746 51.0917796, -114.2003736 51.0918379, -114.2005626 51.0918368, -114.2005625 51.0918419, -114.2007559 51.0918423, -114.2007562 51.091789, -114.2011037 51.0917896, -114.2011023 51.0914518, -114.2007563 51.0914523, -114.2007561 51.0913986, -114.2005702 51.0913989, -114.2005703 51.0913956, -114.2005146 51.0913952, -114.2003895 51.0913942)))"
#12 6504 35 AV NW HOUSING,#12 6504 35 AV NW,6504 35 AV NW,HOUSING - TOWNHOUSE,WARD 1,BOWNESS,{5B3F1886-4890-4176-BE2F-BF9FEFF3A7F1},"MULTIPOLYGON (((-114.1835346 51.0848102, -114.1836619 51.0848128, -114.183663 51.0847686, -114.1835356 51.0847667, -114.1835346 51.0848102)))"
#8 6504 35 AV NW HOUSING,#8 6504 35 AV NW,6504 35 AV NW,HOUSING - TOWNHOUSE,WARD 1,BOWNESS,{BD463229-B592-4AB3-BE95-F2929298E28B},"MULTIPOLYGON (((-114.1835774 51.0846109, -114.1836706 51.0846115, -114.1836716 51.0845695, -114.1835399 51.0845671, -114.1835389 51.0846105, -114.1835774 51.0846109)))"
#11 6504 35 AV NW HOUSING,#11 6504 35 AV NW,6504 35 AV NW,HOUSING - TOWNHOUSE,WARD 1,BOWNESS,{82F54590-D7DE-41F9-A479-4D9CADA5B4DB},"MULTIPOLYGON (((-114.1835356 51.0847667, -114.183663 51.0847686, -114.1836641 51.0847266, -114.183569 51.0847216, -114.1835367 51.0847213, -114.1835356 51.0847667)))"
#4 6504 35 AV NW HOUSING,#4 6504 35 AV NW,6504 35 AV NW,HOUSING - TOWNHOUSE,WARD 1,BOWNESS,{AA8E4FCB-253D-45F9-8ED1-FAA188C7A32E},"MULTIPOLYGON (((-114.1836644 51.0844482, -114.1836725 51.0844482, -114.1836736 51.0844027, -114.1835483 51.0844014, -114.1835475 51.0844402, -114.1835391 51.0844401, -114.1835389 51.0844454, -114.1836644 51.0844482)))"
7511 BOWNESS RD NW HOUSING,7511 BOWNESS RD NW,7511 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{4C336741-AC12-4873-A0BA-7A9D3765F68C},"MULTIPOLYGON (((-114.1941944 51.0885887, -114.1942766 51.0885887, -114.1942765 51.0885194, -114.1941943 51.0885195, -114.1941944 51.0885887)))"
7539 BOWNESS RD NW HOUSING,7539 BOWNESS RD NW,7537 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{5168B16B-9413-45F1-8174-4C0C0FD9A87E},"MULTIPOLYGON (((-114.1957167 51.0885099, -114.1957197 51.0885863, -114.1958003 51.0885857, -114.1957988 51.0885092, -114.1957167 51.0885099)))"
6123 BOWNESS RD NW HOUSING,6123 BOWNESS RD NW,6123 BOWNESS RD NW,HOUSING - APARTMENT,WARD 1,BOWNESS,{CC135A0A-08E8-4B57-B986-3D5E2A73FD7A},"MULTIPOLYGON (((-114.1745669 51.0831589, -114.1745674 51.0831755, -114.1745345 51.0831749, -114.174534 51.0832608, -114.1745346 51.0832608, -114.1745325 51.0833245, -114.1745808 51.083326, -114.1747497 51.0833312, -114.1747926 51.0833326, -114.1747947 51.0833327, -114.1748116 51.083267, -114.1748122 51.0832651, -114.1749061 51.0832654, -114.1749136 51.0832153, -114.1749175 51.0832145, -114.174921 51.0831594, -114.1748266 51.0831589, -114.1745669 51.0831589)))"
FIRE STATION #15,6328 35 AV NW,6328 35 AV NW,FIRE,WARD 1,BOWNESS,{E0DF3EEB-17B3-40FA-B237-86445FF66E48},"MULTIPOLYGON (((-114.1809211 51.0847241, -114.1809222 51.0846539, -114.1808839 51.0846532, -114.1808957 51.0844052, -114.1808224 51.0844039, -114.1808208 51.0844362, -114.1807885 51.0844356, -114.1807904 51.0843952, -114.180763 51.0843947, -114.1807613 51.0844304, -114.1807132 51.0844356, -114.1807084 51.0847227, -114.1809211 51.0847241)))"
#2 6504 35 AV NW HOUSING,#2 6504 35 AV NW,6504 35 AV NW,HOUSING - TOWNHOUSE,WARD 1,BOWNESS,{36F066BB-44BE-497C-A331-EEB1ED9AA35C},"MULTIPOLYGON (((-114.1839378 51.0845015, -114.1840062 51.0845019, -114.1840058 51.0844171, -114.1839386 51.0844166, -114.1839378 51.0845015)))"
7509 BOWNESS RD NW HOUSING,7509 BOWNESS RD NW,7511 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{70B55BC0-5558-4735-9EA3-8F28F4CC632B},"MULTIPOLYGON (((-114.1941103 51.0885888, -114.1941606 51.0885887, -114.1941944 51.0885887, -114.1941943 51.0885195, -114.1941101 51.0885196, -114.1941103 51.0885888)))"
7519 BOWNESS RD NW HOUSING,7519 BOWNESS RD NW,7519 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{A82AF96B-FDF9-416C-9D50-C0A64D823C1F},"MULTIPOLYGON (((-114.194632 51.0886165, -114.1947117 51.0886164, -114.1947115 51.0885419, -114.1946303 51.088542, -114.194632 51.0886165)))"
7513 BOWNESS RD NW HOUSING,7513 BOWNESS RD NW,7515 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{B909728F-CDB5-4F2E-8CBA-BB6CF0AC0BD7},"MULTIPOLYGON (((-114.1944084 51.0885145, -114.1943311 51.0885142, -114.1943303 51.0885899, -114.1944114 51.0885903, -114.1944084 51.0885145)))"
7527 BOWNESS RD NW HOUSING,7527 BOWNESS RD NW,7525 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{DF205257-8E5F-44BB-A9BD-678E687E5481},"MULTIPOLYGON (((-114.1950652 51.0885876, -114.1951169 51.0885881, -114.1951469 51.0885887, -114.1951467 51.0885138, -114.1951166 51.0885137, -114.1950655 51.0885131, -114.1950652 51.0885876)))"
7503 BOWNESS RD NW HOUSING,7503 BOWNESS RD NW,7503 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{0FB0405A-1BC6-45D6-B236-8EA773C4EE1A},"MULTIPOLYGON (((-114.1937617 51.088592, -114.1938406 51.0885921, -114.1938408 51.0885169, -114.193758 51.0885168, -114.1937617 51.088592)))"
VALLEY RIDGE SANITARY STATION,11228R VALLEY RIDGE DR NW,11228R VALLEY RIDGE DR NW,LIFT STATION,WARD 1,VALLEY RIDGE,{826D03F1-25D5-48A2-A6D0-01C56CB153C5},"MULTIPOLYGON (((-114.2489639 51.0967863, -114.2489655 51.0967668, -114.2489341 51.0967658, -114.2489325 51.0967853, -114.2489639 51.0967863)))"
7723 BOWNESS RD NW HOUSING,7723 BOWNESS RD NW,7723 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{B2CFC8E5-246B-4DC6-8650-CBD19EB38AAC},"MULTIPOLYGON (((-114.1977953 51.0885317, -114.1977997 51.0886077, -114.1978781 51.0886073, -114.1978771 51.0885312, -114.1977953 51.0885317)))"
7715 BOWNESS RD NW HOUSING,7715 BOWNESS RD NW,7723 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{FB16E632-CF22-4811-B744-3B8173C9483E},"MULTIPOLYGON (((-114.1973618 51.0885052, -114.1973635 51.0885815, -114.1974429 51.0885813, -114.1974424 51.088505, -114.1973618 51.0885052)))"
7501 BOWNESS RD NW HOUSING,7501 BOWNESS RD NW,7503 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{BA1A6F1C-70EE-442D-8E97-A1776F9C2DD6},"MULTIPOLYGON (((-114.193758 51.0885168, -114.1936787 51.0885167, -114.1936784 51.088592, -114.1937617 51.088592, -114.193758 51.0885168)))"
7521 BOWNESS RD NW HOUSING,7521 BOWNESS RD NW,7521 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{2E329AFB-7F98-483D-A31C-97B33D51EEF4},"MULTIPOLYGON (((-114.1948486 51.0885401, -114.194771 51.0885395, -114.1947696 51.0886169, -114.1948503 51.0886175, -114.1948486 51.0885401)))"
7515 BOWNESS RD NW HOUSING,7515 BOWNESS RD NW,7515 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{BACA5901-44E7-460A-9608-6F677DAC6B2A},"MULTIPOLYGON (((-114.1944114 51.0885903, -114.1944905 51.0885906, -114.1944913 51.0885149, -114.1944084 51.0885145, -114.1944114 51.0885903)))"
7535 BOWNESS RD NW HOUSING,7535 BOWNESS RD NW,7533 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{5D683292-997B-4975-9FB6-8B3CF2411583},"MULTIPOLYGON (((-114.1954996 51.0885112, -114.195502 51.0885871, -114.1955817 51.088587, -114.1955813 51.088511, -114.1954996 51.0885112)))"
7517 BOWNESS RD NW HOUSING,7517 BOWNESS RD NW,7519 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{490CBA97-486C-47BF-8B04-0BAEED964618},"MULTIPOLYGON (((-114.1946303 51.088542, -114.1945484 51.0885421, -114.1945485 51.0886166, -114.194632 51.0886165, -114.1946303 51.088542)))"
7523 BOWNESS RD NW HOUSING,7523 BOWNESS RD NW,7521 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{9E991DEE-1FE3-4187-886C-4E6C6192D135},"MULTIPOLYGON (((-114.1948503 51.0886175, -114.1949284 51.088618, -114.1949299 51.0885407, -114.1948486 51.0885401, -114.1948503 51.0886175)))"
7507 BOWNESS RD NW HOUSING,7507 BOWNESS RD NW,7507 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{6496EE2B-FF42-4C3A-9182-D57999B7DDE3},"MULTIPOLYGON (((-114.1939764 51.0885168, -114.1939794 51.0885919, -114.1940604 51.0885916, -114.1940595 51.0885164, -114.1939764 51.0885168)))"
7719 BOWNESS RD NW HOUSING,7719 BOWNESS RD NW,7723 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{E1654B84-FA9F-430D-99D4-944711DBB7B7},"MULTIPOLYGON (((-114.1975748 51.0885055, -114.1975792 51.0885812, -114.1976593 51.0885808, -114.1976584 51.0885051, -114.1975748 51.0885055)))"
7525 BOWNESS RD NW HOUSING,7525 BOWNESS RD NW,7525 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{0E438105-B8DA-4534-B932-694987E0E4CA},"MULTIPOLYGON (((-114.1950655 51.0885131, -114.194983 51.0885122, -114.1949811 51.0885867, -114.1950652 51.0885876, -114.1950655 51.0885131)))"
